Beneficiary_ID,Month,Transaction_Count,Total_Amount_NGN,Avg_Monthly_Balance_NGN
BENE_00008,2021-06,11,10778.77,6535.88
BENE_00008,2023-09,5,5874.7,1369.21
BENE_00008,2023-08,4,3447.32,1010.2
BENE_00009,2021-11,4,2503.33,2854.46
BENE_00009,2022-11,3,753.67,3431.35
BENE_00009,2021-05,6,2023.71,3568.1
BENE_00009,2024-09,6,12046.81,1650.7
BENE_00009,2020-02,8,6024.03,1550.91
BENE_00009,2020-08,9,4573.82,6895.59
BENE_00009,2023-06,12,2690.74,7292.24
BENE_00009,2021-04,7,1633.76,6711.75
BENE_00010,2024-09,5,3911.0,5198.14
BENE_00010,2022-10,3,7640.41,3547.49
BENE_00010,2024-01,4,1068.27,3771.19
BENE_00010,2023-12,6,7475.74,5787.04
BENE_00010,2020-04,3,13864.03,858.95
BENE_00010,2023-01,8,12364.0,4193.69
BENE_00010,2024-01,5,12107.21,6960.03
BENE_00010,2020-05,4,4378.25,476.06
BENE_00010,2022-11,6,8675.5,5560.57
BENE_00010,2021-11,10,10247.12,1776.69
BENE_00010,2020-03,1,11118.63,7266.85
BENE_00011,2022-12,8,3242.63,5581.04
BENE_00011,2023-06,11,9842.41,2273.59
BENE_00011,2022-03,5,14969.85,4962.19
BENE_00011,2021-08,11,14825.27,6305.75
BENE_00011,2024-01,6,1347.06,7843.63
BENE_00011,2024-07,6,7751.31,3104.09
BENE_00011,2024-11,9,7748.13,2924.97
BENE_00011,2020-05,8,7998.62,6869.16
BENE_00011,2022-07,6,9440.17,6315.18
BENE_00011,2022-10,2,8002.43,134.91
BENE_00012,2023-08,7,3382.99,6455.66
BENE_00012,2020-10,5,3674.23,7333.11
BENE_00012,2024-04,6,3499.57,3297.28
BENE_00012,2024-04,6,11139.33,1547.68
BENE_00012,2022-12,7,6464.54,1836.15
BENE_00012,2021-05,8,7820.35,1917.07
BENE_00013,2025-01,5,11600.62,3222.17
BENE_00013,2022-02,9,9815.94,1786.87
BENE_00013,2020-06,6,13654.62,6413.39
BENE_00013,2022-02,5,4499.01,7367.37
BENE_00013,2020-12,10,9450.16,7336.89
BENE_00014,2020-04,10,7937.18,4243.62
BENE_00014,2022-07,9,14026.92,300.6
BENE_00014,2021-04,6,2595.03,4335.35
BENE_00015,2024-09,12,7971.19,111.06
BENE_00015,2022-06,10,3421.76,3647.13
BENE_00015,2024-07,6,6615.74,5272.39
BENE_00015,2021-06,8,12066.07,6229.67
BENE_00015,2020-10,5,9114.08,3386.88
BENE_00015,2022-03,10,3117.85,3953.84
BENE_00015,2021-08,9,10032.18,2108.8
BENE_00015,2022-02,7,8549.13,2917.6
BENE_00015,2023-06,3,13938.35,896.8
BENE_00015,2022-10,11,10668.44,2716.24
BENE_00015,2022-03,7,13681.72,6318.43
BENE_00016,2020-12,6,14464.54,6419.72
BENE_00016,2024-08,8,12352.36,1169.9
BENE_00016,2024-10,5,5592.0,2206.6
BENE_00016,2022-01,6,9552.48,1526.97
BENE_00017,2024-12,9,12986.56,4905.96
BENE_00017,2020-10,4,12524.4,3758.72
BENE_00017,2022-11,7,3445.68,7133.12
BENE_00017,2020-12,8,8165.65,2701.19
BENE_00017,2020-08,9,5448.2,3323.2
BENE_00017,2022-04,7,10187.39,4871.62
BENE_00017,2021-02,3,2068.5,1882.71
BENE_00018,2021-05,8,14758.3,6485.14
BENE_00018,2024-07,7,615.28,357.81
BENE_00018,2021-06,5,9622.07,5908.52
BENE_00018,2024-12,6,14355.76,2180.83
BENE_00018,2020-05,8,14136.54,6769.72
BENE_00018,2022-02,7,12496.18,2628.87
BENE_00018,2024-05,6,2102.06,6839.43
BENE_00018,2024-07,6,9041.7,3011.11
BENE_00018,2023-03,8,5029.76,714.88
BENE_00018,2021-11,8,3945.3,4732.24
BENE_00019,2024-01,0,9770.76,3681.76
BENE_00019,2020-11,8,5554.63,740.17
BENE_00019,2022-09,7,12367.34,6363.77
BENE_00019,2024-05,7,14770.22,3087.96
BENE_00019,2023-06,3,14114.44,2765.15
BENE_00019,2023-05,8,12985.58,336.75
BENE_00019,2022-12,7,2476.73,268.47
BENE_00019,2021-04,7,12863.6,942.75
BENE_00019,2020-10,6,9201.73,7389.98
BENE_00019,2022-05,3,10442.45,6022.64
BENE_00019,2023-03,7,5098.15,595.61
BENE_00019,2022-01,8,1507.84,2489.54
BENE_00020,2020-06,3,10251.72,3946.87
BENE_00020,2021-05,5,11698.69,7373.78
BENE_00020,2023-02,5,13255.3,270.32
BENE_00020,2021-08,6,6199.62,871.88
BENE_00020,2024-08,7,14158.48,3658.23
BENE_00020,2021-02,7,9660.73,5075.53
BENE_00020,2022-09,3,3672.53,6744.9
BENE_00020,2022-01,6,13690.24,6765.9
BENE_00020,2021-09,5,10712.51,7357.69
BENE_00020,2021-07,6,6110.43,1871.59
BENE_00020,2024-01,3,6042.94,270.03
BENE_00020,2020-07,4,8223.56,5247.1
BENE_00021,2022-06,8,7675.57,3238.24
BENE_00021,2020-12,6,7522.45,2753.97
BENE_00021,2022-06,5,10576.18,2341.86
BENE_00021,2020-09,11,2319.08,4249.53
BENE_00021,2022-06,3,10975.68,4454.39
BENE_00021,2024-12,6,9558.8,5561.46
BENE_00022,2021-08,7,5361.1,3872.54
BENE_00022,2021-03,3,1823.37,3060.07
BENE_00022,2023-01,9,4155.04,4079.47
BENE_00022,2022-04,4,13571.63,4140.92
BENE_00022,2023-02,12,689.87,5595.61
BENE_00022,2023-04,4,6479.13,3334.4
BENE_00022,2024-05,2,2608.16,5045.22
BENE_00022,2023-12,8,7094.31,1789.27
BENE_00022,2021-06,7,725.51,225.79
BENE_00023,2022-04,6,2075.09,4833.59
BENE_00023,2021-02,4,5235.9,4241.86
BENE_00023,2024-11,8,14093.88,5576.37
BENE_00023,2021-04,5,13159.89,3609.23
BENE_00023,2022-11,6,3330.31,2098.74
BENE_00024,2023-05,4,7842.94,4738.44
BENE_00024,2023-03,5,7938.56,6218.31
BENE_00024,2021-09,7,2904.17,6907.15
BENE_00024,2023-12,5,5317.31,3229.16
BENE_00025,2022-11,4,14595.08,623.24
BENE_00025,2020-12,11,5439.33,4311.97
BENE_00025,2020-10,6,11285.36,2062.68
BENE_00025,2020-08,6,14041.29,922.25
BENE_00025,2024-10,7,8242.01,2425.99
BENE_00025,2024-04,4,8765.24,6524.63
BENE_00025,2021-10,3,4712.25,1176.64
BENE_00025,2020-10,12,11311.81,6213.07
BENE_00026,2022-04,6,9226.43,431.71
BENE_00026,2020-09,8,8815.34,6135.53
BENE_00026,2023-05,7,8646.37,3456.37
BENE_00026,2022-10,6,11059.12,2133.83
BENE_00026,2021-06,4,13766.32,3154.5
BENE_00026,2021-06,7,5535.5,7218.12
BENE_00026,2024-11,10,11311.9,7221.58
BENE_00026,2023-05,4,13462.21,7832.39
BENE_00026,2022-06,3,4036.58,3522.18
BENE_00026,2023-03,7,2237.37,7561.64
BENE_00026,2022-03,1,6722.14,4942.81
BENE_00027,2021-01,9,2814.19,5043.87
BENE_00027,2022-07,6,2387.72,6326.37
BENE_00027,2020-08,2,2014.6,4009.6
BENE_00027,2021-03,7,14793.58,7255.94
BENE_00028,2021-09,4,11150.52,5021.88
BENE_00028,2021-12,8,3469.77,3981.71
BENE_00028,2021-12,5,7657.28,1107.02
BENE_00028,2021-11,5,12141.98,3609.21
BENE_00028,2023-06,3,4222.19,4719.4
BENE_00029,2022-03,4,14996.65,2162.31
BENE_00029,2022-10,8,864.82,5249.65
BENE_00029,2023-05,4,11944.85,5106.5
BENE_00029,2024-05,6,1087.08,330.5
BENE_00030,2022-12,7,657.22,5910.26
BENE_00030,2021-04,5,11827.39,3270.48
BENE_00030,2021-11,5,10982.95,4466.19
BENE_00030,2024-08,7,1178.0,7674.81
BENE_00030,2021-09,6,5109.36,4323.17
BENE_00030,2022-05,14,12411.37,2552.42
BENE_00030,2022-04,8,6732.61,3408.33
BENE_00030,2020-10,7,9548.5,7952.8
BENE_00030,2020-06,8,9535.79,1284.22
BENE_00030,2023-05,5,3862.46,6257.41
BENE_00031,2020-02,10,10899.11,7167.78
BENE_00031,2021-09,2,5321.88,7399.8
BENE_00031,2023-12,7,10667.93,7697.62
BENE_00031,2024-10,5,3076.01,605.24
BENE_00032,2021-10,6,6323.17,517.74
BENE_00032,2022-12,5,11089.32,1661.7
BENE_00032,2022-08,4,6304.34,2272.94
BENE_00032,2024-05,5,4805.98,3297.1
BENE_00032,2021-07,7,4199.81,1584.85
BENE_00032,2024-11,4,9490.2,4777.68
BENE_00032,2022-07,7,8618.0,4857.1
BENE_00033,2024-08,4,2193.83,1329.3
BENE_00033,2021-05,3,11479.87,1524.52
BENE_00033,2021-05,5,14628.35,222.55
BENE_00033,2021-03,3,6376.55,4407.9
BENE_00033,2022-08,8,12656.65,4046.67
BENE_00033,2023-11,7,14263.07,2355.97
BENE_00033,2020-05,6,8581.14,644.29
BENE_00033,2024-05,4,12120.79,1948.34
BENE_00033,2021-11,2,8037.81,731.36
BENE_00033,2022-02,8,12250.74,2838.51
BENE_00033,2023-05,3,7697.36,6692.28
BENE_00033,2021-07,9,8284.22,3390.35
BENE_00034,2024-06,5,10243.49,194.1
BENE_00034,2022-07,4,5432.23,7037.96
BENE_00034,2023-01,7,12607.78,3858.62
BENE_00034,2023-07,6,8638.99,4124.65
BENE_00034,2023-06,4,4449.5,3417.45
BENE_00034,2020-05,8,6811.37,6177.35
BENE_00034,2023-08,4,13073.79,2170.98
BENE_00034,2022-03,9,12986.71,3861.59
BENE_00034,2020-09,3,4124.24,770.18
BENE_00034,2022-09,6,6237.18,1234.08
BENE_00034,2022-10,8,7549.28,5889.06
BENE_00035,2022-04,7,7873.71,3660.48
BENE_00035,2022-08,3,12764.1,4488.61
BENE_00035,2020-11,3,5819.39,5418.78
BENE_00035,2021-04,5,1854.76,6251.98
BENE_00035,2020-04,10,11839.0,4628.46
BENE_00035,2023-12,7,14162.81,1739.8
BENE_00035,2023-06,7,2518.0,2615.26
BENE_00035,2024-11,9,14728.15,7047.48
BENE_00035,2020-07,7,9009.95,7327.23
BENE_00035,2021-08,3,1447.22,228.62
BENE_00035,2022-11,5,14535.44,720.46
BENE_00036,2021-11,5,2493.82,5103.19
BENE_00036,2024-06,6,1664.93,807.17
BENE_00036,2024-01,5,4012.43,1979.4
BENE_00036,2023-09,6,12615.42,3869.26
BENE_00036,2022-02,3,11447.87,4469.18
BENE_00036,2023-01,2,5714.89,4967.68
BENE_00036,2022-12,11,12475.25,7425.38
BENE_00036,2021-11,10,4554.09,4647.95
BENE_00037,2022-11,4,5053.83,5045.64
BENE_00037,2022-01,8,12532.02,7132.81
BENE_00037,2022-09,7,13953.05,6508.86
BENE_00037,2022-10,7,2146.59,2056.49
BENE_00037,2023-01,9,14459.65,2251.18
BENE_00037,2021-04,11,1126.59,4456.68
BENE_00037,2022-12,9,8672.41,3194.0
BENE_00038,2020-11,5,13956.39,2261.04
BENE_00038,2023-02,4,7628.55,3964.22
BENE_00038,2020-08,11,12480.66,2678.77
BENE_00038,2021-05,10,13368.15,6153.43
BENE_00038,2022-12,6,6107.16,4562.75
BENE_00038,2023-10,4,4153.41,6559.72
BENE_00038,2024-03,8,13575.65,6057.46
BENE_00039,2020-07,9,9273.42,4976.7
BENE_00039,2022-04,3,12059.9,5177.32
BENE_00039,2023-11,4,4074.29,136.1
BENE_00039,2021-02,5,12566.42,1764.16
BENE_00039,2025-01,3,3682.12,6456.8
BENE_00039,2024-04,12,4379.86,7092.73
BENE_00039,2023-08,9,2625.52,288.75
BENE_00039,2021-05,4,11126.38,4029.02
BENE_00039,2021-08,6,14507.38,1080.9
BENE_00039,2022-02,8,14336.39,4195.84
BENE_00040,2023-03,3,6555.83,5257.24
BENE_00040,2024-12,4,5916.11,6199.77
BENE_00040,2023-07,1,9593.07,4607.5
BENE_00040,2023-04,9,2657.4,1969.35
BENE_00040,2025-01,3,3611.24,3233.61
BENE_00040,2024-01,4,1137.56,7827.11
BENE_00040,2020-04,3,3148.06,1653.44
BENE_00040,2022-08,5,509.56,6691.37
BENE_00040,2022-04,3,1558.04,3432.44
BENE_00040,2021-08,5,7252.82,829.16
BENE_00041,2024-01,5,2299.44,5151.29
BENE_00041,2023-07,7,2007.33,4613.25
BENE_00041,2022-08,8,8099.67,4096.27
BENE_00041,2023-06,7,14127.73,7591.54
BENE_00041,2021-10,6,5944.09,3555.88
BENE_00041,2022-03,1,11113.16,7034.96
BENE_00041,2020-05,8,1230.06,4112.14
BENE_00042,2021-10,8,11278.94,4627.83
BENE_00042,2022-08,6,6338.72,3296.18
BENE_00042,2022-02,1,14659.39,7200.18
BENE_00042,2023-10,7,3453.97,5125.27
BENE_00042,2024-08,8,12795.36,7548.0
BENE_00042,2024-11,11,4228.86,7483.15
BENE_00042,2021-09,5,4232.77,3653.95
BENE_00042,2022-11,11,879.48,5464.12
BENE_00042,2023-01,3,13045.45,3897.02
BENE_00043,2023-01,8,9544.71,4123.63
BENE_00043,2021-12,9,670.41,4199.43
BENE_00043,2022-01,2,13357.55,3898.35
BENE_00043,2023-10,3,7433.43,7687.72
BENE_00043,2024-12,4,5655.47,4786.84
BENE_00043,2020-10,3,7443.23,1832.49
BENE_00043,2020-04,3,14393.22,7755.04
BENE_00043,2020-07,8,13742.46,7046.75
BENE_00043,2022-12,7,12051.4,253.03
BENE_00043,2022-12,4,5754.44,3687.53
BENE_00043,2024-12,5,3034.87,1994.79
BENE_00043,2023-06,4,11759.99,5597.09
BENE_00044,2024-01,7,14779.81,6491.02
BENE_00044,2022-05,9,14666.29,3587.7
BENE_00044,2025-01,7,14056.78,4421.2
BENE_00044,2023-03,6,10086.33,5876.57
BENE_00044,2024-01,11,6865.34,3111.27
BENE_00044,2025-01,5,4530.98,7714.62
BENE_00044,2024-04,7,9526.47,1049.14
BENE_00045,2022-01,10,11252.23,1855.83
BENE_00045,2021-05,6,11723.13,6786.45
BENE_00045,2021-12,5,13058.14,3515.38
BENE_00045,2020-04,6,10650.56,556.34
BENE_00045,2023-10,8,3960.26,6313.5
BENE_00046,2021-07,5,9214.95,532.52
BENE_00046,2023-10,13,14037.27,2249.86
BENE_00046,2023-10,5,7154.01,4740.63
BENE_00047,2023-12,6,9943.48,1871.78
BENE_00047,2021-06,4,11687.51,1144.88
BENE_00047,2024-08,4,9758.76,3029.6
BENE_00047,2021-02,4,7823.58,7247.56
BENE_00048,2025-01,3,13747.81,6376.2
BENE_00048,2021-03,1,1428.76,6886.57
BENE_00048,2024-05,7,2921.51,1442.77
BENE_00048,2021-03,6,12902.31,4330.43
BENE_00048,2024-06,5,9388.0,1184.72
BENE_00048,2020-05,8,6956.39,6925.99
BENE_00048,2021-01,6,520.81,4278.31
BENE_00048,2020-08,6,8209.22,885.76
BENE_00049,2021-11,1,12992.58,7546.08
BENE_00049,2023-04,3,5810.18,6936.84
BENE_00049,2020-05,5,11206.89,6634.07
BENE_00049,2021-11,12,7190.5,6753.12
BENE_00050,2023-06,8,9793.64,244.17
BENE_00050,2023-01,5,7485.04,4041.83
BENE_00050,2020-07,6,6733.89,1945.45
BENE_00050,2023-03,9,8676.25,3880.52
BENE_00050,2020-04,9,14665.46,6418.99
BENE_00050,2021-10,7,7588.11,832.14
BENE_00050,2023-02,6,14919.4,2467.92
BENE_00050,2020-07,4,7783.56,5527.84
BENE_00050,2022-11,2,14905.9,7027.73
BENE_00050,2024-09,6,7716.99,2945.98
BENE_00051,2024-05,5,11148.96,2167.46
BENE_00051,2023-08,8,7406.7,6694.9
BENE_00051,2021-03,6,8813.23,1067.76
BENE_00051,2020-03,10,9850.52,6219.26
BENE_00051,2024-04,5,14953.47,2939.21
BENE_00052,2022-06,7,13344.83,3113.5
BENE_00052,2024-05,5,1439.8,540.27
BENE_00052,2024-02,11,8112.02,6223.11
BENE_00052,2024-11,7,11930.6,5049.07
BENE_00052,2023-03,11,11878.31,2503.15
BENE_00052,2023-11,8,9770.87,4517.83
BENE_00052,2024-06,5,6104.66,6341.49
BENE_00052,2021-10,1,5990.68,6161.79
BENE_00052,2024-11,5,10601.53,3031.56
BENE_00052,2021-12,4,541.88,2423.81
BENE_00053,2021-11,4,6690.57,3835.55
BENE_00053,2024-12,8,8042.6,5547.68
BENE_00053,2024-12,11,12414.65,6560.48
BENE_00054,2024-12,7,13765.28,3105.03
BENE_00054,2021-03,2,7333.63,630.74
BENE_00054,2022-06,3,9256.76,3504.4
BENE_00054,2022-06,4,11621.51,2985.06
BENE_00054,2024-03,0,3775.62,4531.28
BENE_00054,2020-05,4,2020.02,2018.95
BENE_00054,2022-01,8,9537.16,3488.56
BENE_00054,2023-07,7,5684.01,4003.29
BENE_00054,2020-02,2,10737.12,3689.69
BENE_00054,2024-08,5,7840.37,4869.4
BENE_00055,2021-09,7,11907.22,3336.41
BENE_00055,2021-01,7,1743.26,4699.95
BENE_00055,2023-08,6,12335.7,7483.51
BENE_00055,2021-08,9,3700.6,7313.77
BENE_00055,2022-04,3,14525.68,1058.56
BENE_00055,2023-04,7,10148.06,3257.35
BENE_00055,2022-12,10,10665.89,4685.04
BENE_00056,2024-11,4,12650.49,5195.23
BENE_00056,2024-02,8,3378.65,3847.71
BENE_00056,2022-01,6,5906.81,4173.53
BENE_00056,2020-04,7,5250.32,4810.06
BENE_00056,2022-06,3,10406.73,7097.09
BENE_00056,2021-11,8,11245.54,4879.34
BENE_00056,2020-04,6,610.41,1872.04
BENE_00057,2022-11,8,9897.03,3464.32
BENE_00057,2023-02,10,8097.22,5921.95
BENE_00057,2020-08,4,14576.88,6276.17
BENE_00057,2024-02,10,6116.88,3354.31
BENE_00057,2020-10,2,1487.87,2589.96
BENE_00057,2022-06,8,6141.4,6748.86
BENE_00057,2022-04,3,2984.97,5246.48
BENE_00057,2023-07,4,14857.58,7068.6
BENE_00057,2021-12,4,13294.82,936.67
BENE_00057,2024-09,8,8560.51,6350.83
BENE_00058,2020-08,6,3256.35,7056.81
BENE_00058,2022-08,8,700.48,706.88
BENE_00058,2021-02,6,10870.09,3748.37
BENE_00058,2021-12,5,10358.07,672.94
BENE_00059,2023-01,4,4168.95,747.92
BENE_00059,2024-05,6,11394.63,2080.65
BENE_00059,2021-10,7,5092.24,7854.22
BENE_00059,2020-08,3,13073.81,6755.8
BENE_00059,2023-09,12,2796.02,1244.02
BENE_00059,2024-02,3,12328.07,1592.54
BENE_00059,2023-07,5,13095.86,1321.08
BENE_00059,2021-02,9,10454.66,4947.22
BENE_00059,2024-10,5,2732.52,4012.53
BENE_00059,2020-08,8,10159.04,2469.43
BENE_00060,2021-10,8,9882.69,6498.59
BENE_00060,2023-11,6,5180.43,7738.06
BENE_00060,2020-03,6,988.64,6373.18
BENE_00060,2024-11,6,2570.87,3091.2
BENE_00060,2021-04,9,3118.08,6613.94
BENE_00060,2023-02,6,4033.99,2294.82
BENE_00060,2022-09,7,14122.65,7371.01
BENE_00060,2020-08,4,10237.41,2357.29
BENE_00060,2024-06,6,4247.21,4517.35
BENE_00061,2022-04,3,10082.36,2836.25
BENE_00061,2022-06,2,12682.22,6445.5
BENE_00061,2023-10,8,2940.51,5901.14
BENE_00062,2020-11,6,11486.49,6274.64
BENE_00062,2022-05,5,13567.65,2746.38
BENE_00062,2021-05,8,7577.8,1809.65
BENE_00062,2022-05,7,10740.94,902.22
BENE_00062,2024-10,9,4277.99,1779.32
BENE_00062,2024-06,4,5783.57,7900.83
BENE_00062,2022-05,7,12747.23,7170.56
BENE_00062,2021-06,4,4118.79,2541.02
BENE_00062,2021-07,6,1058.94,2733.35
BENE_00062,2020-08,4,6854.18,7136.43
BENE_00062,2021-06,3,4999.56,1360.32
BENE_00063,2024-06,5,1105.96,817.33
BENE_00063,2023-03,6,3734.42,547.41
BENE_00063,2022-02,6,5687.66,2086.66
BENE_00063,2024-09,1,8426.76,842.48
BENE_00063,2021-07,9,12404.99,5366.33
BENE_00063,2022-10,7,9660.28,4076.77
BENE_00064,2022-06,8,12888.04,2517.98
BENE_00064,2024-11,6,14272.52,635.9
BENE_00064,2022-11,2,2812.71,341.57
BENE_00065,2022-10,6,12412.05,4359.79
BENE_00065,2021-10,5,6231.61,6905.8
BENE_00065,2023-05,8,14777.64,3310.39
BENE_00065,2024-03,7,6521.45,6805.98
BENE_00065,2022-06,2,12328.99,2971.82
BENE_00065,2021-11,9,14802.14,5176.7
BENE_00065,2022-11,6,6636.8,2260.51
BENE_00065,2021-10,6,8184.82,3664.94
BENE_00065,2020-09,11,3206.13,6671.95
BENE_00065,2022-04,10,13029.5,6203.11
BENE_00065,2024-11,5,9126.75,6012.21
BENE_00065,2020-07,8,10587.02,5211.77
BENE_00066,2020-09,4,2594.97,4319.11
BENE_00066,2024-08,3,2843.11,4704.55
BENE_00066,2023-04,5,10025.7,1331.52
BENE_00066,2020-09,9,2851.04,7870.42
BENE_00066,2023-10,3,2072.03,6117.86
BENE_00066,2024-01,9,14668.92,4324.48
BENE_00067,2020-11,3,7129.31,3043.7
BENE_00067,2023-10,6,9032.1,838.02
BENE_00067,2022-12,7,11125.46,3148.92
BENE_00067,2024-04,5,7564.35,4028.27
BENE_00067,2020-05,9,2835.48,474.95
BENE_00068,2020-03,6,14094.37,1930.7
BENE_00068,2021-11,8,12942.0,2274.01
BENE_00068,2021-08,5,9969.03,1436.91
BENE_00068,2020-12,5,7590.98,6471.6
BENE_00068,2021-10,2,13345.64,2221.08
BENE_00069,2024-12,7,2192.19,4502.1
BENE_00069,2024-04,4,8057.05,5872.09
BENE_00069,2021-01,9,8974.08,5882.17
BENE_00069,2020-11,5,3974.75,3496.67
BENE_00069,2024-05,5,558.56,3926.4
BENE_00069,2023-01,5,11785.74,4710.2
BENE_00069,2024-06,3,3355.96,3140.7
BENE_00069,2021-02,4,870.99,3253.14
BENE_00069,2021-06,13,14274.58,1162.26
BENE_00069,2020-03,4,11638.06,4443.01
BENE_00069,2024-07,5,11701.23,5320.52
BENE_00069,2020-03,6,14519.68,252.83
BENE_00070,2022-11,6,5755.93,7311.29
BENE_00070,2021-05,4,9632.53,6042.72
BENE_00070,2020-10,7,4993.4,6238.34
BENE_00070,2022-03,4,1030.25,2547.51
BENE_00070,2024-07,3,14744.36,1147.93
BENE_00070,2024-05,8,14095.38,861.95
BENE_00070,2020-02,9,6954.36,131.26
BENE_00070,2022-03,5,9196.05,3342.15
BENE_00070,2023-03,5,6718.48,7270.86
BENE_00070,2020-07,7,13126.11,1382.94
BENE_00070,2023-06,3,12155.07,6853.35
BENE_00070,2024-10,3,5239.19,7806.23
BENE_00071,2023-09,6,5340.76,5904.18
BENE_00071,2021-10,5,6449.86,7355.97
BENE_00071,2024-06,2,3119.69,4026.16
BENE_00072,2024-04,5,1190.27,6442.52
BENE_00072,2020-08,7,5257.2,5757.61
BENE_00072,2024-06,9,7093.5,6665.65
BENE_00072,2023-06,5,10030.52,4799.07
BENE_00072,2021-12,9,13368.8,6958.77
BENE_00073,2020-09,6,4888.87,303.68
BENE_00073,2021-11,3,5601.26,2139.42
BENE_00073,2023-11,4,14936.87,1776.42
BENE_00073,2023-01,11,4736.49,7160.14
BENE_00073,2025-01,5,6732.38,5979.57
BENE_00074,2023-10,4,13195.17,5857.74
BENE_00074,2023-10,7,13466.62,4332.46
BENE_00074,2021-07,9,10473.38,197.96
BENE_00074,2020-02,4,4718.32,761.07
BENE_00074,2024-11,2,4665.24,2735.67
BENE_00074,2020-04,4,1890.89,2380.66
BENE_00074,2020-12,3,3439.09,3546.96
BENE_00074,2024-03,11,7329.62,727.2
BENE_00075,2022-04,6,10515.57,2531.63
BENE_00075,2021-02,3,7066.69,2440.53
BENE_00075,2023-05,11,7717.01,5645.27
BENE_00075,2024-02,7,4687.24,2841.91
BENE_00075,2021-01,12,10958.89,6443.42
BENE_00075,2023-02,5,7883.7,1772.15
BENE_00075,2020-04,9,8400.39,3562.59
BENE_00075,2020-12,4,12371.3,4365.18
BENE_00075,2022-05,6,8912.08,5443.32
BENE_00076,2020-02,3,6825.48,7937.22
BENE_00076,2024-12,7,4849.16,6388.32
BENE_00076,2021-12,7,10967.97,7568.83
BENE_00076,2021-09,2,14598.74,4484.34
BENE_00076,2021-10,5,14489.94,6709.8
BENE_00076,2023-03,14,4620.23,4121.65
BENE_00077,2021-10,6,6831.25,1570.72
BENE_00077,2022-11,6,810.17,1433.26
BENE_00077,2022-05,5,11852.97,1447.41
BENE_00078,2022-12,9,1031.21,1731.0
BENE_00078,2023-05,6,4567.91,2892.13
BENE_00078,2021-07,4,10837.92,6014.19
BENE_00078,2021-08,4,2862.18,6275.57
BENE_00078,2021-05,8,5244.14,7685.82
BENE_00078,2020-07,9,2087.97,2297.32
BENE_00078,2024-07,6,4218.59,1528.46
BENE_00078,2023-07,6,3294.66,5950.47
BENE_00078,2024-07,4,3846.07,1709.04
BENE_00078,2024-06,5,7721.42,3292.79
BENE_00078,2020-02,8,5580.89,1830.31
BENE_00079,2021-02,7,4310.54,5409.64
BENE_00079,2024-05,7,1640.4,3447.36
BENE_00079,2023-07,3,11551.87,2324.66
BENE_00079,2020-03,4,7536.44,6689.4
BENE_00080,2024-11,4,11617.53,6342.4
